id,name,shortDesc,fullDesc,price,popularity,image,category
27,Бамбуковые шампура для барбекю размер - 30см.,"Бамбуковые шпажки для барбекю
Размер: 30 см.",,,37,images/products/bamboo_shpash.jpg,"Кухонная утварь,На пикник"
28,Бамбуковые шампура для барбекю размер - 20см.,"Бамбуковые шпажки для барбекю
Размер: 25 см.",,,54,images/products/bamboo_shpash.jpg,"Кухонная утварь,На пикник"
29,Бамбуковые шампура для барбекю размер - 25см.,"Бамбуковые шпажки для барбекю
Размер: 20 см.",,,35,images/products/bamboo_shpash.jpg,"Кухонная утварь,На пикник"
30,Бамбуковые шампура для барбекю размер - 15см.,"Бамбуковые шпажки для барбекю
Размер: 15 см.",,,62,images/products/bamboo_shpash.jpg,"Кухонная утварь,На пикник"
31,Горелка газовая пластмассовая пьеза, Компактный и эргономичный дизайн.,Горелка-насадка с пьезоподжигом и регулятором мощности. Автоматический пьезоэлектрический розжиг одним нажатием.,300,39,images/products/gorelka_300.jpg,"Кухонная утварь,На пикник"
32,Горелка газовая металлическая пьеза,Данная горелка снабжена системой предварительного подогрева газа.,,400,24,images/products/gorelka_400.jpg,"Кухонная утварь,На пикник"
33,"Турбо зажигалка-горелка, газовая","Удобная в пользовании , занимает мало места","Заправляемая , с предохранителем и регулятором мощности.",200,51,images/products/turbo.jpg,"Кухонная утварь,На пикник"
34,Звонок беспроводной уличный,Пылеводозащитный в черном дизайне,Работают от батареек. Розетка не нужна,600,96,images/products/,"Электротовары,Хозтовары"
35,Звонок беспроводной комнатный,С различными рингтонами ,Работают от батареек. Розетка не нужна,400,67,images/products/,"Электротовары,Хозтовары"
36,"Крышка стеклянная, с металлическим ободком - 14см",Сделано в России. ГОСТ 51969-2002,"назначение: для сковороды, для сотейника, для кастрюлиматериал: стекло",220,52,images/products/krishka.jpg,"Кухонная утварь,Посуда"
37,"Крышка стеклянная, с металлическим ободком - 16см",Сделано в России. ГОСТ 51969-2002,"назначение: для сковороды, для сотейника, для кастрюлиматериал: стекло",250,95,images/products/krishka.jpg,"Кухонная утварь,Посуда"
38,"Крышка стеклянная, с металлическим ободком - 18см",Сделано в России. ГОСТ 51969-2002,"назначение: для сковороды, для сотейника, для кастрюлиматериал: стекло",260,6,images/products/krishka.jpg,"Кухонная утварь,Посуда"
39,"Крышка стеклянная, с металлическим ободком - 20см",Сделано в России. ГОСТ 51969-2002,"назначение: для сковороды, для сотейника, для кастрюлиматериал: стекло",300,44,images/products/krishka.jpg,"Кухонная утварь,Посуда"
40,"Крышка стеклянная, с металлическим ободком - 22см",Сделано в России. ГОСТ 51969-2002,"назначение: для сковороды, для сотейника, для кастрюлиматериал: стекло",320,56,images/products/krishka.jpg,"Кухонная утварь,Посуда"
41,"Крышка стеклянная, с металлическим ободком - 24см",Сделано в России. ГОСТ 51969-2002,"назначение: для сковороды, для сотейника, для кастрюлиматериал: стекло",350,22,images/products/krishka.jpg,"Кухонная утварь,Посуда"
42,Пылевыбивалка для ковров с черной ручкой,Основа плетный металл,,300,52,images/products/pill.jpg,Хозтовары
43,"Скоба для степлера - ""MEI DE"", - 6мм., Тип 53; 1000 шт ",Скоба для степлера,"Размер: 6мм.
Тип: 53
Кол-во: 1000шт.
Бренд: ""MEI DE""",50,79,images/products/skoba.png,Инструменты
44,"Скоба для степлера - ""MEI DE"", - 8мм., Тип 53; 1000 шт ",Скоба для степлера,"Размер: 8мм.
Тип: 53
Кол-во: 1000шт.
Бренд: ""MEI DE""",50,81,images/products/skoba.png,Инструменты
45,Термометр наружный,На липучке,Без ртути,50,85,images/products/tempa_50.jpg,"Хозтовары,Сад и огород"
46,Штопор металлический,Простой и удобный штопор идеально подходит для удаления пробок одним движением. ,"Штопор прост в эксплуатации и не занимает много места при хранении, удобно брать с собой в поездку, на пикник и другие мероприятия.",150,93,images/products/shtopor_150.jpg,Кухонная утварь
47,Термометр комнатный ,,,100,51,images/products/tempa_50.jpg,Хозтовары
48,Скребок пластмассовый ,,,150,81,images/products/skrebok_150.jpg,Кухонная утварь
49,Термометр комнатный ,С цветочным фоном,,100,21,images/products/temp_kom_roza.jpg,"Хозтовары,Сад и огород"
50,Газовый поджиг ,С прямым носиком,,200,88,images/products/zajig_pryamoy.jpg,"Кухонная утварь,На пикник"
51,Газовый поджиг ,С длинным изгибающимся носиком,,200,85,images/products/zajig_krivoy.jpg,"Кухонная утварь,На пикник"
52,Яблокорезка,С пластмассовыми ручками ,,260,41,images/products/apple_cut_260.jpg,Кухонная утварь
53,Набор прихватка + подставка ,,,150,16,images/products/nabor_prihv_150.jpg,Кухонная утварь
54,Чехол для одежды,,,350,28,images/products/case_for_clouthes.jpg,Хозтовары
55,Сетка для глажения ,,,150,24,images/products/setka_for_gladki.jpg,Хозтовары
56,Мешок для стирки обуви,,,200,85,images/products/setka_for_shoses.jpeg,Хозтовары
57,Мешки для пылесоса,3 шт. в упаковке ,,200,46,images/products/bah_for_pilesosksa.jpg,Хозтовары
58,Мешок для мягкой стирки,"Защищает тонкие ткани от повреждений вызванных стиркой, отжимом и сушкой","35х40 для 1.5кг белья
70х40 для 3кг белья 
70х80 для 5кг белья ",200,34,images/products/bag_to_easy_clean.jpg,Хозтовары
59,Москитная сетка ,1.5х1.5м на окно,С самоклеящейся лентой для крепления. Белый цвет,150,98,images/products/moskit_setka_window.jpg,Хозтовары
60,Набор для готовки яиц,Материал : коррозионностойкая сталь,В наборе: 4 формочки с держателями + кисточка ,250,51,images/products/,Кухонная утварь
61,Капучинатор,Вспениватель молока,"Работает от двух батареек АА ( пальчиковых ), постоянное нажатие ",200,44,images/products/kapuchinator_200.jpeg,Кухонная утварь
62,Скребок для стеклокерамики ,Материал : коррозионностойкая сталь,"Подоходит также для кафельных и стеклянных поверхностей от засохшей или пригоревшей грязи. Сменное двустороннее лезвие , имеет специальный предохранитель. Оно выдвигается и фиксируется.",350,18,images/products/skrebok_350.jpg,Кухонная утварь
63,Шприц кондитерский втулка,Набор для украшения тортов,В комплетке сменные насадки. 2 цвета на выбор : белый и красный ,250,23,images/products/Shpric_vtulka.jpg,Кухонная утварь
64,Шприц кондитерский мешочек,Набор для украшения тортов,В комплетке сменные насадки. 2 цвета на выбор : белый и красный ,200,55,images/products/Shpric_meshok.jpg,Кухонная утварь
65,Силиконовый набор для выпечки,Лопатка + кисточка,Красный и зеленый цвет,150,23,images/products/kist_lopat_150.jpg,Кухонная утварь
66,Щетка утюжок малый,Универсальная с пластмассовой ручкой и полипропиленовых ворсинок,"Производство : Россия, Ростов-на-Дону",70,25,images/products/utuzok_70.jpg,Хозтовары
67,Щетка утюжок средний,Универсальная с пластмассовой ручкой и полипропиленовых ворсинок,"Производство : Россия, Ростов-на-Дону",80,24,images/products/utuzok_large_80.jpg,Хозтовары
68,Щетка утюжок большой,Универсальная с пластмассовой ручкой и полипропиленовых ворсинок,"Производство : Россия, Ростов-на-Дону",100,71,images/products/utuzok_xxl.jpg,Хозтовары
69,"Секатор 8""",,,350,15,images/products/sekator_300.jpg,"Инструменты,Сад и Огород"
70,"Секатор 9""",,,450,70,images/products/,"Инструменты,Сад и Огород"
71,"Секатор 10""",,,450,81,images/products/sekator_450_10.jpg,"Инструменты,Сад и Огород"
72,"Секатор 8"" SALI",,,1000,59,images/products/,"Инструменты,Сад и Огород"
73,Полироль автомобильная PLAK,750ml. Italia,В ассортименте все запахи. Уточнять по наличию конкретной,650,54,images/products/plak.jpg,Автотовары
74,Фольга малая,Саянская классическая,"Толщина : 11мкм
Длина : 10м
Ширина : 30см 
Материал : алюминий",150,36,images/products/folga_150.jpg,"Кухонная утварь,На пикник"
75,Фольга большая,Саянская для запекания,"Толщина : 14мкм
Длина : 10м
Ширина : 44см 
Материал : алюминий",300,76,images/products/folga_300.jpg,"Кухонная утварь,На пикник"
76,Фольга плотная,Саянская гриль,"Толщина : 20мкм
Длина : 10м
Ширина : 44см 
Материал : алюминий",350,24,images/products/folga_350.jpg,"Кухонная утварь,На пикник"
77,Губка меламиновая,4шт.  в комплекте. Плотность : 8.5кг/м,"Для ванны, для кафеля и плитки, для оргтехники, для стеклокерамики, универсальная",100,43,images/products/melamin.jpg,Кухонная утварь
78,Форма для выпечки кекс,4 шт. в комплекте,"Материал : Нержавеющая сталь
Диаметр = 14 см
НИКИС , производство - Беларусь ",320,24,images/products/keks_forms.jpg,Кухонная утварь
79,Скатерть одноразовая ,5 шт. в рулоне. Рамер: 140х110см,"В ассортименте разные цвета, однотонные и с рисунками",200,71,images/products/skatert_first.jpg,"Кухонная утварь,На пикник"
80,Пакеты для заморозки малые,18х25см. 25шт.,Для хранения пищевой продукции в холодильнике или морозильной камере . Не прилипают к продуктам. С защёлкой,150,74,images/products/paket_zamorozka.jpg,Кухонная утварь
81,Пакеты для заморозки средние,25х30см. 25шт.,Для хранения пищевой продукции в холодильнике или морозильной камере . Не прилипают к продуктам. С защёлкой,200,80,images/products/paket_zamorozka_big.jpg,Кухонная утварь
82,"Леска для триммера, звезда - (3.5 мм / 15 м)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",250,26,images/products/leska_all.jpg,Сад и Огород
83,"Леска для триммера, витая, квадрат - (3.5 мм / 15м.)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",250,3,images/products/leska_all.jpg,Сад и Огород
84,"Леска для триммера, звезда - (3 мм / 15 м)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",200,90,images/products/leska_all.jpg,Сад и Огород
85,"Леска для триммера, витая, квадрат - (3 мм / 15м.)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",200,29,images/products/leska_all.jpg,Сад и Огород
86,"Леска для триммера, звезда - (2.7 мм / 15 м)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",150,55,images/products/leska_all.jpg,Сад и Огород
87,"Леска для триммера, витая, квадрат - (2.7 мм / 15м.)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",150,58,images/products/leska_all.jpg,Сад и Огород
88,"Леска для триммера, звезда - (2.4 мм / 15 м)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",150,97,images/products/leska_all.jpg,Сад и Огород
89,"Леска для триммера, витая, квадрат - (2.4 мм / 15м.)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",150,26,images/products/leska_all.jpg,Сад и Огород
90,"Леска для триммера, стальная проволка - (2.4 мм / 15м.)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",200,78,images/products/leska_steel.jpg,Сад и Огород
91,"Леска для триммера, витая, квадрат - (2.0 мм / 15м.)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",100,76,images/products/leska_all.jpg,Сад и Огород
92,"Леска для триммера, звезда - (2.0 мм / 15 м)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",100,92,images/products/leska_all.jpg,Сад и Огород
93,"Леска для триммера, звезда - (1.6 мм / 15 м)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",100,18,images/products/leska_all.jpg,Сад и Огород
94,"Леска для триммера, витая, квадрат - (1.6 мм / 15м.)",Леска двухкомпонентная для триммера  применяется в качестве режущего материала в электрических и бензиновых триммерах.,"Обладает высокой износостойкостью за счет более прочного внутреннего слоя.
Леска рекомендована для скашивания как густой зеленой травы, так и сухого многолетнего кустарника.",100,80,images/products/leska_all.jpg,Сад и Огород
95,Зажим для полотенец,,,100,16,images/products/zajimi.jpeg,Кухонная утварь
96,Шпуля (катушка) для бензокосы и электротриммера,"Полуавтомат, ударопрочная, гайка М10х1.25 LH, под леску 2.0-3.0 мм","Предмет предназначен для хозяйственно-бытовых нужд, в первую очередь для подметания пола в помещении. Он обладает тонкими прутьями и длинной, прочной рукояткой, благодаря чему им удобно производить уборку в труднодоступных местах: под мебелью, в углах, узких и тесных проемах, на высоте. В некоторых ситуациях веник из сорго выигрывает у своего высокотехнологичного конкурента – пылесоса. Например: при необходимости осуществить уборку неровной поверхности; во дворе, на улице; при наличии грязного и мокрого мусора; когда разбито стекло или раздавлена пластмасса. Им удобно смахивать пыль и выметать средний и крупный мусор, который застрянет в пылесосе и засорит его. Веником или метелкой из сорго, как правило, обрабатывают поверхности перед влажной уборкой. Часто его используют при очистке ковров и паласов снегом. Некоторые хозяйки смачивают в воде чистый веник и опрыскивают им цветы или белье, увлажняют воздух в помещении.
Ве́ник — связка прутьев или веток, используемая для подметания помещений, но иногда и уличных территорий. Прежде употреблялся также для чистки одежды, для спрыска белья или цветов.",600,40,images/products/katushka.jpg,Сад и Огород
97,Катушка-шпуля,"С подшипником, автомат для мотокос",,,91,images/products/katushka_200.jpg,Сад и Огород
98,"Фильтр удлинитель - (5м. / 5 гнезд / с заземлением) ""POWER CUBE""","Номинальная мощность тока = 16А, макс. Мощность = 2200Вт.","Сетевой фильтр Power CUBE защищает от помех электросети, перегрузок и токов короткого замыкания. Корпус устройства выполнен из экологически чистого и негорючего пластика. Пять розеток евростандарта выполнены по специальной технологии, что позволяет вставлять в них вилки не только евростандарта (толстые), но и тонкие российские вилки. Сетевой фильтр также имеет общий сетевой выключатель со световой индикацией, фиксирующей включение в сеть и исправность электронной цепи.",1300,42,images/products/kub_univers.jpg,"Электротовары,Хозтовары"
99,"Фильтр удлинитель - (3м. / 5 гнезд / с заземлением) ""POWER CUBE""","Номинальная мощность тока = 16А, макс. Мощность = 2200Вт.","Сетевой фильтр Power CUBE защищает от помех электросети, перегрузок и токов короткого замыкания. Корпус устройства выполнен из экологически чистого и негорючего пластика. Пять розеток евростандарта выполнены по специальной технологии, что позволяет вставлять в них вилки не только евростандарта (толстые), но и тонкие российские вилки. Сетевой фильтр также имеет общий сетевой выключатель со световой индикацией, фиксирующей включение в сеть и исправность электронной цепи.",1100,95,images/products/kub_univers.jpg,"Электротовары,Хозтовары"
100,"Фильтр удлинитель - (1,9 м. / 5 гнезд / с заземлением) ""POWER CUBE""","Номинальная мощность тока = 10А, макс. Мощность = 2200Вт.","Сетевой фильтр Power CUBE защищает от помех электросети, перегрузок и токов короткого замыкания. Корпус устройства выполнен из экологически чистого и негорючего пластика. Пять розеток евростандарта выполнены по специальной технологии, что позволяет вставлять в них вилки не только евростандарта (толстые), но и тонкие российские вилки. Сетевой фильтр также имеет общий сетевой выключатель со световой индикацией, фиксирующей включение в сеть и исправность электронной цепи.",1000,7,images/products/kub_univers.jpg,"Электротовары,Хозтовары"
101,Держатель для кафеля алюминий тройная,(Стеклодомкрат) ,,1000,58,images/products/steklo_three.jpg,Инструменты
102,Держатель для кафеля алюминий одинарный,(Стеклодомкрат) ,,450,39,images/products/steklo_one.jpg,Инструменты
103,Ступка металлическая ,Ступка для специй металлическая является универсальной принадлежностью на вашей кухне. ,"В ступке можно легко и быстро растереть любые специи и зелень, а также ступку можно использовать в качестве емкости. Поможет приготовить ароматную добавку к вашему блюду. Изготовлена из прочного металла, нержавеющая и надежная. Обладает высокой ударопрочностью и износостойкостью. Проста в использовании, легко моется",1000,43,images/products/stupka_steel.jpeg,Кухонная утварь
104,"Нож ""TRAMONTINA MULTICOLOR"" средний гладкий",Оригинальный нож с пластмассовой ручкой. Стоимость за штуку.,Данный нож предназначен для универсальных бытовых и кухонных задач. Острое лезвие и прочная основа. Редкий экземпляр в свзяи со сложностью поставок.,250,85,images/products/knife_tramontina_gladk_plast.jpg,Кухонная утварь
105,"Нож ""TRAMONTINA MULTICOLOR"" средний с зубчиками",Оригинальный нож с пластмассовой ручкой. Стоимость за штуку.,Данный нож предназначен для универсальных бытовых и кухонных задач. Острое лезвие и прочная основа. Редкий экземпляр в свзяи со сложностью поставок.,250,7,images/products/knife_tramontina_zub_plast.jpg,Кухонная утварь
106,Вафельница элекрическая для венских вафель,,,700,12,images/products/wafel_700.jpg,Кухонная утварь
107,"Весы электронные для кухни, с круглой чашкой ",До 5 кг.,,700,6,images/products/vesi_napol_700.jpg,Кухонная утварь
108,Орехокол механический,Крокодилы,"Орехокол легко раскалывает орехи, пекан, фундук, миндаль, грецкий орех, бразильские орехи.Простой в использовании, очень полезный и легкий инструмент. ",200,84,images/products/orex_krok_200.png,Кухонная утварь
109,"Брусок абразивный, для заточки ножей",С деревянной ручкой,"Точильный брусок треугольной формы на деревянной ручке применяется для ручной правки, заточки режущего инструмента в том числе кос.
Абразивный материал ― корунд (оксид алюминия).",200,8,images/products/brusok_der.jpg,Кухонная утварь
110,Набор отверток ,С трещоткой в коробке,"Набор отверток с трещоткой
Кол-во: 26 предметов",500,65,images/products/nabor_otv_500.jpg,Инструменты
111,Нож для шинковки капусты,С двумя лезвиями из нерж.,С пластмассовой ручкой,350,55,images/products/knife_kapust.jpg,Кухонная утварь
112,Нож для шинковки капусты,С двумя лезвиями ,С пластмассовой ручкой,250,55,images/products/knife_kapust_250.jpg ,Кухонная утварь
113,Сито-брызгогаситель с ручкой ,25 см.,"Крышка-экран от брызг для сковородок и кастрюль от масла. Эффективно защищает плиту, кафель, фартук от попадания горячих брызг. Крышка может использоваться в качестве сито.",220,19,images/products/maslo_brizg.jpg,Кухонная утварь
114,Сито-брызгогаситель с ручкой ,29 см.,"Крышка-экран от брызг для сковородок и кастрюль от масла. Эффективно защищает плиту, кафель, фартук от попадания горячих брызг. Крышка может использоваться в качестве сито.",260,19,images/products/maslo_brizg.jpg,Кухонная утварь
115,Сито-брызгогаситель с ручкой ,33 см.,"Крышка-экран от брызг для сковородок и кастрюль. Эффективно защищает плиту, кафель, фартук от попадания горячих брызг. Крышка может использоваться в качестве сито.",300,19,images/products/maslo_brizg.jpg,Кухонная утварь
116,Крышка для микроволновой печи,Крышка для СВЧ и холодильника,"Диаметр 23 см, пищевой пластик",150,86,images/products/svc_cup_150.jpg,Кухонная утварь
117,Аэратор для смесителя ,"С регулировкой потока воды, поворотный",С данной насадкой на кран Вы можете отмыть любую посуду,100,97,images/products/aerator_100_fish.jpg,Кухонная утварь
118,Аэратор для смесителя ,Широкий на 360 градусов,С данной насадкой на кран Вы можете рассеять воду для большего захвата площади,450,21,images/products/aerator_450.jpg,Кухонная утварь
119,Москитная сетка ,120х220см. На дверь,Два отрезка по 60х220см. На 5 мягких магнитных полосках по 25см. Накладка декоративная + набор кнопок,360,45,images/products/mosquit_door_360.jpg,Сад и Огород
120,Тапенер степлер садовый ,Для подвязки растений,"В наборе : Лента, скоба",1500,81,images/products/,Сад и Огород
121,Дождевик ,XXXL. На молнии,,200,94,images/products/,"Сад и Огород,На пикник"
122,Дождевик рыбацкий ,,,600,6,images/products/,"Сад и Огород,На пикник"
123,Батарейки C ( LR14) ,SmartBuy 1.5V. Цена за единцу,В блистере 2шт. Продается поштучно путем вскрытия упаковки в том числе. Алкалиновые,200,22,images/products/,Электротовары
124,Батарейки L ( LR20 ),SmartBuy 1.5V. Цена за единцу,В блистере 2шт. Продается поштучно путем вскрытия упаковки в том числе. Алкалиновые,200,85,images/products/,Электротовары
125,Батарейки CR2032,Camelion (3V),В блистере 1шт. ,100,64,images/products/,Электротовары
126,Батарейки AA,Duracell / Opticell simply 1.5V Цена за единцу,В блистере 2шт. Продается поштучно путем вскрытия упаковки в том числе. Алкалиновые,50,58,images/products/,Электротовары
127,Батарейки AAA,Duracell / Opticell simply 1.5V Цена за единцу,В блистере 2шт. Продается поштучно путем вскрытия упаковки в том числе. Алкалиновые,50,57,images/products/,Электротовары
128,Замок велосипедный,Открывается с помощью ключа,В комплекте пара ключей. Цвет синий и красный на выбор,300,75,images/products/,"На пикник,Интсрументы"
129,Нож фигурный пластмассовый,Для резки овощей,,150,5,images/products/,Кухонная утварь
130,Смазка проникающая ,230ml. UP 40,,300,11,images/products/,Инструменты
131,Подставка под горячее,,,100,4,images/products/,Кухонная утварь
132,Смазка проникающая ,120ml. UP 40,,200,25,images/products/,Инструменты
133,Губка дял обуви Salton,Прозранчая с пропиткой,,100,21,images/products/,Средства для ухода
134,Губка дял обуви Salton,Черная с пропиткой,,100,72,images/products/,Средства для ухода
135,Silver мазь с губкой,Черная ,,150,24,images/products/,Средства для ухода
136,Silver мазь с губкой,Белая,,150,85,images/products/,Средства для ухода
137,Silver мазь с губкой,Коричневая ,,150,62,images/products/,Средства для ухода
138,Silver мазь с губкой,Бесцветная  ,,150,21,images/products/,Средства для ухода
139,Silver шайба,Черная ,,150,95,images/products/,Средства для ухода
140,Silver шайба,Корчиневая,,150,53,images/products/,Средства для ухода
141,Silver шайба,Бесцветная  ,,150,93,images/products/,Средства для ухода
142,Kiwi шайба,Черная ,,150,40,images/products/,Средства для ухода
143,Дезодарант обувной,Антибактериальный CHIST,,260,32,images/products/,Средства для ухода
144,Водотталкивающая пропитка,CHIST универасльный,,300,65,images/products/,Средства для ухода
145,Антимоль шарики-таблетки 100 г ,"Эти шарики-таблетки предназначены для эффективной защиты от моли и других насекомых, повреждающих ткань. Они специально разработаны для отпугивания и предотвращения заражения и повреждения одежды, постельного белья и других тканей вредителями. Таблетки просты в использовании, обеспечивают длительное действие и обеспечивают спокойствие за сохранность ценных тканей.","Преимущества:

1. Эффективен против взрослых особей и личинок, предотвращая появление новых вредителей.
2. 6 месяцев действия.
3. Быстродействующий.
4. Надежная защита.
5. Доступный.
6. Удобное применение без необходимости дополнительного смешивания или подготовки.

Бренд
Greenfield",100,20,images/products/greenfield_shariki.jpg,Инсектициды
